SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
180220	1	STUDY	peel	apple	3	NA	NA	
180220	2	STUDY	bead	rain	4	NA	NA	
180220	3	STUDY	tale	end	2	NA	NA	
180220	4	STUDY	paint	smell	1	NA	NA	
180220	5	STUDY	coast	float	5	NA	NA	
180220	6	STUDY	vacate	evacuate	0	NA	NA	
180220	7	STUDY	pig	dirt	5	NA	NA	
180220	8	STUDY	stare	rude	3	NA	NA	
180220	9	STUDY	grow	rise	1	NA	NA	
180220	10	STUDY	dawn	night	1	NA	NA	
180220	11	STUDY	snake	ugly	5	NA	NA	
180220	12	STUDY	collar	blouse	1	NA	NA	
180220	13	STUDY	stalk	kill	2	NA	NA	
180220	14	STUDY	stay	home	4	NA	NA	
180220	15	STUDY	math	test	0	NA	NA	
180220	16	STUDY	contact	apart	2	NA	NA	
180220	17	STUDY	build	add	1	NA	NA	
180220	18	STUDY	shame	abuse	2	NA	NA	
180220	19	STUDY	maid	honor	2	NA	NA	
180220	20	STUDY	throw	move	3	NA	NA	
180220	21	STUDY	grave	bad	5	NA	NA	
180220	22	STUDY	party	friend	2	NA	NA	
180220	23	STUDY	mask	scuba	5	NA	NA	
180220	24	STUDY	coin	bill	0	NA	NA	
180220	25	STUDY	artist	picture	1	NA	NA	
180220	26	STUDY	marry	family	3	NA	NA	
180220	27	STUDY	grove	group	0	NA	NA	
180220	28	STUDY	spool	pool	1	NA	NA	
180220	29	STUDY	tumble	mat	5	NA	NA	
180220	30	STUDY	marsh	field	4	NA	NA	
180220	31	STUDY	cost	lot	3	NA	NA	
180220	32	STUDY	curve	girl	5	NA	NA	
180220	33	STUDY	student	stress	5	NA	NA	
180220	34	STUDY	support	love	0	NA	NA	
180220	35	STUDY	crowd	big	4	NA	NA	
180220	36	STUDY	space	black	0	NA	NA	
180220	37	STUDY	circus	lion	4	NA	NA	
180220	38	STUDY	piano	man	4	NA	NA	
180220	39	STUDY	search	lost	1	NA	NA	
180220	40	STUDY	beat	blend	5	NA	NA	
180220	41	STUDY	tomato	hot	4	NA	NA	
180220	42	STUDY	demand	take	3	NA	NA	
180220	43	STUDY	sleeve	jacket	4	NA	NA	
180220	44	STUDY	choose	freedom	3	NA	NA	
180220	45	STUDY	beer	taste	0	NA	NA	
180220	46	STUDY	defeat	battle	2	NA	NA	
180220	47	STUDY	barrel	drum	2	NA	NA	
180220	48	STUDY	saint	priest	0	NA	NA	
180220	49	STUDY	shop	keeper	3	NA	NA	
180220	50	STUDY	dizzy	confuse	4	NA	NA	
180220	51	STUDY	taboo	norm	1	NA	NA	
180220	52	STUDY	chief	major	2	NA	NA	
180220	53	STUDY	bath	house	3	NA	NA	
180220	54	STUDY	damp	stink	0	NA	NA	
180220	1	TEST	search	lost	1	skip	0	
180220	2	TEST	demand	take	3	skip	0	
180220	3	TEST	stalk	kill	2	kill	1	
180220	4	TEST	build	add	1	rise	0	
180220	5	TEST	grow	rise	1	rise	1	
180220	6	TEST	artist	picture	1	paint	0	
180220	7	TEST	dawn	night	1	night	1	
180220	8	TEST	grove	group	0	skip	0	
180220	9	TEST	stay	home	4	home	1	
180220	10	TEST	mask	scuba	5	skip	0	
180220	11	TEST	taboo	norm	1	norm	1	
180220	12	TEST	maid	honor	2	skip	0	
180220	13	TEST	tale	end	2	book	0	
180220	14	TEST	peel	apple	3	apple	1	
180220	15	TEST	spool	pool	1	pool	1	
180220	16	TEST	bead	rain	4	skip	0	
180220	17	TEST	stare	rude	3	rude	1	
180220	18	TEST	damp	stink	0	wet	0	
180220	19	TEST	marry	family	3	maid	0	
180220	20	TEST	circus	lion	4	skip	0	
180220	21	TEST	chief	major	2	skip	0	
180220	22	TEST	paint	smell	1	artist	0	
180220	23	TEST	shame	abuse	2	taboo	0	
180220	24	TEST	piano	man	4	skip	0	
180220	25	TEST	bath	house	3	room	0	
180220	26	TEST	choose	freedom	3	skip	0	
180220	27	TEST	party	friend	2	skip	0	
180220	28	TEST	grave	bad	5	sad	0	
180220	29	TEST	curve	girl	5	slim	0	
180220	30	TEST	collar	blouse	1	shirt	0	
180220	31	TEST	dizzy	confuse	4	headache	0	
180220	32	TEST	throw	move	3	skip	0	
180220	33	TEST	pig	dirt	5	dirt	1	
180220	34	TEST	contact	apart	2	skip	0	
180220	35	TEST	coin	bill	0	skip	0	
180220	36	TEST	marsh	field	4	skip	0	
180220	37	TEST	beer	taste	0	can	0	
180220	38	TEST	shop	keeper	3	skip	0	
180220	39	TEST	tumble	mat	5	fall	0	
180220	40	TEST	support	love	0	skip	0	
180220	41	TEST	space	black	0	skip	0	
180220	42	TEST	math	test	0	problem	0	
180220	43	TEST	barrel	drum	2	skip	0	
180220	44	TEST	beat	blend	5	drum	0	
180220	45	TEST	vacate	evacuate	0	eviction	0	
180220	46	TEST	tomato	hot	4	skip	0	
180220	47	TEST	student	stress	5	skip	0	
180220	48	TEST	defeat	battle	2	skip	0	
180220	49	TEST	coast	float	5	water	0	
180220	50	TEST	sleeve	jacket	4	jacket	1	
180220	51	TEST	crowd	big	4	skip	0	
180220	52	TEST	cost	lot	3	skip	0	
180220	53	TEST	snake	ugly	5	ugly	1	
180220	54	TEST	saint	priest	0	preacher	0	
