SUBJNO	BLOCKNUM	BLOCKNAME	BLOCKSIZE	NUMINBLOCK	ITEMID	ANSWER	TFRESP	TFACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	READTIME	TFTIME	MAXTIME	
184208	Cal	NA	15	1	silver	1	1	1	0	-	NA	-1	2.732	1.292	10	
184208	Cal	NA	15	2	tennis	0	0	1	0	-	NA	-1	2.376	0.996	10	
184208	Cal	NA	15	3	quarter	0	0	1	0	-	NA	-1	2.404	1.056	10	
184208	Cal	NA	15	4	mountain	1	1	1	0	-	NA	-1	2.424	0.664	10	
184208	Cal	NA	15	5	juice	0	0	1	0	-	NA	-1	2.324	0.704	10	
184208	Cal	NA	15	6	nephew	0	0	1	0	-	NA	-1	3.359	1.04	10	
184208	Cal	NA	15	7	spoon	0	0	1	0	-	NA	-1	2.236	0.72	10	
184208	Cal	NA	15	8	deer	1	1	1	0	-	NA	-1	2.02	0.793	10	
184208	Cal	NA	15	9	corn	0	0	1	0	-	NA	-1	1.996	0.8	10	
184208	Cal	NA	15	10	gray	1	1	1	0	-	NA	-1	1.972	0.624	10	
184208	Cal	NA	15	11	flute	0	0	1	0	-	NA	-1	1.753	0.61	10	
184208	Cal	NA	15	12	cousin	0	0	1	0	-	NA	-1	2.192	1.296	10	
184208	Cal	NA	15	13	boat	1	1	1	0	-	NA	-1	1.788	0.616	10	
184208	Cal	NA	15	14	island	1	1	1	0	-	NA	-1	1.812	0.984	10	
184208	Cal	NA	15	15	screw	0	0	1	0	-	NA	-1	2.152	1.768	10	
184208	Prac1	NA	2	1	cabin	0	NA	1	0	L	p	0	2.616	0.776	4.672140688548523	
184208	Prac1	NA	2	2	egg	1	NA	1	0	K	k	1	1.637	0.832	4.672140688548523	
184208	Prac2	NA	2	1	robe	0	NA	1	0	L	l	1	2.389	0.763	4.672140688548523	
184208	Prac2	NA	2	2	garlic	0	NA	1	0	J	j	1	1.904	0.56	4.672140688548523	
184208	3	NA	2	1	rabbit	0	NA	1	0	Q	q	1	2.024	1.242	4.672140688548523	
