SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
064649	1	STUDY	space	black	0	NA	NA	
064649	2	STUDY	paint	smell	1	NA	NA	
064649	3	STUDY	choose	freedom	3	NA	NA	
064649	4	STUDY	bead	rain	4	NA	NA	
064649	5	STUDY	math	test	0	NA	NA	
064649	6	STUDY	saint	priest	0	NA	NA	
064649	7	STUDY	piano	man	4	NA	NA	
064649	8	STUDY	student	stress	5	NA	NA	
064649	9	STUDY	defeat	battle	2	NA	NA	
064649	10	STUDY	support	love	0	NA	NA	
064649	11	STUDY	circus	lion	4	NA	NA	
064649	12	STUDY	stalk	kill	2	NA	NA	
064649	13	STUDY	demand	take	3	NA	NA	
064649	14	STUDY	snake	ugly	5	NA	NA	
064649	15	STUDY	taboo	norm	1	NA	NA	
064649	16	STUDY	party	friend	2	NA	NA	
064649	17	STUDY	artist	picture	1	NA	NA	
064649	18	STUDY	tale	end	2	NA	NA	
064649	19	STUDY	build	add	1	NA	NA	
064649	20	STUDY	tomato	hot	4	NA	NA	
064649	21	STUDY	grow	rise	1	NA	NA	
064649	22	STUDY	coast	float	5	NA	NA	
064649	23	STUDY	grove	group	0	NA	NA	
064649	24	STUDY	crowd	big	4	NA	NA	
064649	25	STUDY	beer	taste	0	NA	NA	
064649	26	STUDY	marry	family	3	NA	NA	
064649	27	STUDY	maid	honor	2	NA	NA	
064649	28	STUDY	peel	apple	3	NA	NA	
064649	29	STUDY	spool	pool	1	NA	NA	
064649	30	STUDY	collar	blouse	1	NA	NA	
064649	31	STUDY	search	lost	1	NA	NA	
064649	32	STUDY	contact	apart	2	NA	NA	
064649	33	STUDY	shop	keeper	3	NA	NA	
064649	34	STUDY	tumble	mat	5	NA	NA	
064649	35	STUDY	dizzy	confuse	4	NA	NA	
064649	36	STUDY	barrel	drum	2	NA	NA	
064649	37	STUDY	chief	major	2	NA	NA	
064649	38	STUDY	marsh	field	4	NA	NA	
064649	39	STUDY	shame	abuse	2	NA	NA	
064649	40	STUDY	throw	move	3	NA	NA	
064649	41	STUDY	curve	girl	5	NA	NA	
064649	42	STUDY	dawn	night	1	NA	NA	
064649	43	STUDY	coin	bill	0	NA	NA	
064649	44	STUDY	vacate	evacuate	0	NA	NA	
064649	45	STUDY	bath	house	3	NA	NA	
064649	46	STUDY	damp	stink	0	NA	NA	
064649	47	STUDY	cost	lot	3	NA	NA	
064649	48	STUDY	stay	home	4	NA	NA	
064649	49	STUDY	pig	dirt	5	NA	NA	
064649	50	STUDY	mask	scuba	5	NA	NA	
064649	51	STUDY	beat	blend	5	NA	NA	
064649	52	STUDY	stare	rude	3	NA	NA	
064649	53	STUDY	grave	bad	5	NA	NA	
064649	54	STUDY	sleeve	jacket	4	NA	NA	
064649	1	TEST	collar	blouse	1	blouse	1	
064649	2	TEST	search	lost	1	rescue	0	
064649	3	TEST	shop	keeper	3	keeper	1	
064649	4	TEST	build	add	1	skip	0	
064649	5	TEST	crowd	big	4	skip	0	
064649	6	TEST	student	stress	5	stress	1	
064649	7	TEST	tale	end	2	skip	0	
064649	8	TEST	support	love	0	love	1	
064649	9	TEST	sleeve	jacket	4	jacket	1	
064649	10	TEST	spool	pool	1	pool	1	
064649	11	TEST	math	test	0	test	1	
064649	12	TEST	peel	apple	3	apple	1	
064649	13	TEST	tomato	hot	4	skip	0	
064649	14	TEST	marry	family	3	skip	0	
064649	15	TEST	stalk	kill	2	kill	1	
064649	16	TEST	grave	bad	5	bad	1	
064649	17	TEST	defeat	battle	2	battle	1	
064649	18	TEST	bath	house	3	house	1	
064649	19	TEST	circus	lion	4	lion	1	
064649	20	TEST	grove	group	0	tree	0	
064649	21	TEST	dizzy	confuse	4	confused	0	
064649	22	TEST	cost	lot	3	lot	1	
064649	23	TEST	paint	smell	1	skip	0	
064649	24	TEST	choose	freedom	3	pick	0	
064649	25	TEST	throw	move	3	skip	0	
064649	26	TEST	demand	take	3	take	1	
064649	27	TEST	beer	taste	0	skip	0	
064649	28	TEST	barrel	drum	2	drum	1	
064649	29	TEST	party	friend	2	hat	0	
064649	30	TEST	coast	float	5	skip	0	
064649	31	TEST	contact	apart	2	skip	0	
064649	32	TEST	artist	picture	1	skip	0	
064649	33	TEST	piano	man	4	man	1	
064649	34	TEST	saint	priest	0	priest	1	
064649	35	TEST	vacate	evacuate	0	leave	0	
064649	36	TEST	grow	rise	1	skip	0	
064649	37	TEST	space	black	0	black	1	
064649	38	TEST	chief	major	2	major	1	
064649	39	TEST	taboo	norm	1	norm	1	
064649	40	TEST	stare	rude	3	rude	1	
064649	41	TEST	bead	rain	4	rain	1	
064649	42	TEST	curve	girl	5	girl	1	
064649	43	TEST	damp	stink	0	skip	0	
064649	44	TEST	shame	abuse	2	skip	0	
064649	45	TEST	tumble	mat	5	skip	0	
064649	46	TEST	marsh	field	4	field	1	
064649	47	TEST	pig	dirt	5	dirty	0	
064649	48	TEST	maid	honor	2	honor	1	
064649	49	TEST	dawn	night	1	skip	0	
064649	50	TEST	beat	blend	5	skip	0	
064649	51	TEST	mask	scuba	5	skip	0	
064649	52	TEST	snake	ugly	5	ugly	1	
064649	53	TEST	coin	bill	0	bill	1	
064649	54	TEST	stay	home	4	skip	0	
