SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
121356	Cal	15	1	7	*	7	6	55	63	0	4	0	1	0	-	NA	-1	6.17	0.816	10	
121356	Cal	15	2	6	/	2	3	6	13	0	1	0	1	0	-	NA	-1	1.483	0.793	10	
121356	Cal	15	3	7	*	9	2	65	65	1	4	1	1	0	-	NA	-1	2.561	0.863	10	
121356	Cal	15	4	1	*	2	2	4	4	1	1	1	1	0	-	NA	-1	1.72	0.819	10	
121356	Cal	15	5	9	/	1	-4	5	5	1	1	1	1	0	-	NA	-1	2.02	0.764	10	
121356	Cal	15	6	1	*	4	-3	1	1	1	1	1	1	0	-	NA	-1	1.209	0.884	10	
121356	Cal	15	7	4	*	6	-9	15	18	0	3	0	1	0	-	NA	-1	3.888	0.886	10	
121356	Cal	15	8	6	*	8	9	57	57	1	4	1	1	0	-	NA	-1	4.318	0.984	10	
121356	Cal	15	9	5	*	9	6	51	51	1	4	1	1	0	-	NA	-1	3.757	0.75	10	
121356	Cal	15	10	9	/	9	7	8	15	0	1	0	1	0	-	NA	-1	1.989	0.819	10	
121356	Cal	15	11	4	*	9	8	44	40	0	3	0	1	0	-	NA	-1	3.91	0.96	10	
121356	Cal	15	12	3	*	5	8	23	22	0	2	0	1	0	-	NA	-1	1.512	1.024	10	
121356	Cal	15	13	8	/	4	8	10	10	1	1	1	1	0	-	NA	-1	1.603	0.777	10	
121356	Cal	15	14	5	*	8	-8	32	36	0	4	0	1	0	-	NA	-1	2.5	1.135	10	
121356	Cal	15	15	6	*	7	9	51	51	1	4	1	1	0	-	NA	-1	6.419	0.736	10	
121356	Prac1	2	1	6	/	3	4	6	6	1	1	0	0	0	P	p	1	1.472	1.05	8.033459862853137	
121356	Prac1	2	2	7	*	5	-1	34	28	0	3	0	1	0	L	l	1	3.624	0.772	8.033459862853137	
121356	Prac2	3	1	2	*	7	-8	6	12	0	2	0	1	0	H	h	1	1.716	1.283	8.033459862853137	
121356	Prac2	3	2	2	*	9	3	21	21	1	2	1	1	0	K	k	1	1.612	0.821	8.033459862853137	
121356	Prac2	3	3	8	*	7	-1	55	55	1	4	0	0	0	J	j	1	2.821	2.649	8.033459862853137	
121356	3	6	1	1	*	5	-2	3	3	1	1	1	1	0	R	r	1	4.113	0.97	8.033459862853137	
121356	3	6	2	4	*	3	-3	9	9	1	2	1	1	0	N	n	1	1.433	0.841	8.033459862853137	
121356	3	6	3	7	/	7	1	2	9	0	1	0	1	0	H	h	1	1.688	0.991	8.033459862853137	
121356	3	6	4	1	*	9	-2	7	10	0	1	0	1	0	P	p	1	2.112	0.982	8.033459862853137	
121356	3	6	5	4	/	4	9	10	10	1	1	1	1	0	K	k	1	2.6	0.925	8.033459862853137	
121356	3	6	6	7	*	4	9	37	43	0	3	0	1	0	T	-	0	3.357	0.831	8.033459862853137	
121356	4	4	1	1	/	1	6	7	4	0	1	0	1	0	J	j	1	1.628	1.051	8.033459862853137	
121356	4	4	2	2	/	1	6	8	8	1	1	1	1	0	T	t	1	1.797	0.801	8.033459862853137	
121356	4	4	3	3	/	1	1	4	4	1	1	1	1	0	L	l	1	2.436	0.953	8.033459862853137	
121356	4	4	4	2	*	5	-3	7	12	0	2	0	1	0	H	h	1	1.725	0.776	8.033459862853137	
121356	5	3	1	8	*	6	-1	47	47	1	4	1	1	0	Q	q	1	2.492	1.323	8.033459862853137	
121356	5	3	2	1	*	8	-2	6	6	1	1	1	1	0	P	p	1	1.385	0.87	8.033459862853137	
121356	5	3	3	7	*	8	9	65	71	0	4	0	1	0	H	h	1	2.836	0.939	8.033459862853137	
