SUBN	TRIAL	BLOCK	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
092426	1	1	STUDY	retain	strap	0	NA	NA	
092426	2	1	STUDY	leaf	toad	10	NA	NA	
092426	3	1	STUDY	word	apex	5	NA	NA	
092426	4	1	STUDY	banner	glide	5	NA	NA	
092426	5	1	STUDY	bleach	ruin	0	NA	NA	
092426	6	1	STUDY	blossom	please	10	NA	NA	
092426	7	1	STUDY	rock	milk	0	NA	NA	
092426	8	1	STUDY	glue	force	5	NA	NA	
092426	9	1	STUDY	things	relief	5	NA	NA	
092426	10	1	STUDY	taxi	nag	5	NA	NA	
092426	11	1	STUDY	cave	senate	10	NA	NA	
092426	12	1	STUDY	twist	produce	10	NA	NA	
092426	13	1	STUDY	link	crisis	10	NA	NA	
092426	14	1	STUDY	flight	grind	10	NA	NA	
092426	15	1	STUDY	anger	decay	0	NA	NA	
092426	16	1	STUDY	highway	push	0	NA	NA	
092426	17	1	STUDY	prison	loaf	10	NA	NA	
092426	18	1	STUDY	storage	stone	5	NA	NA	
092426	19	1	STUDY	intent	knuckle	0	NA	NA	
092426	20	1	STUDY	pray	scarf	5	NA	NA	
092426	21	1	STUDY	shrink	mafia	0	NA	NA	
092426	1	1	TEST	anger	decay	0	skip	0	
092426	2	1	TEST	shrink	mafia	0	skip	0	
092426	3	1	TEST	glue	force	5	please	0	
092426	4	1	TEST	blossom	please	10	please	1	
092426	5	1	TEST	taxi	nag	5	car	0	
092426	6	1	TEST	things	relief	5	stuff	0	
092426	7	1	TEST	link	crisis	10	crisis	1	
092426	8	1	TEST	twist	produce	10	produce	1	
092426	9	1	TEST	highway	push	0	toad	0	
092426	10	1	TEST	prison	loaf	10	jail	0	
092426	11	1	TEST	storage	stone	5	war	0	
092426	12	1	TEST	flight	grind	10	plane	0	
092426	13	1	TEST	intent	knuckle	0	cause	0	
092426	14	1	TEST	retain	strap	0	stuff	0	
092426	15	1	TEST	leaf	toad	10	toad	1	
092426	16	1	TEST	word	apex	5	cave	0	
092426	17	1	TEST	pray	scarf	5	god	0	
092426	18	1	TEST	bleach	ruin	0	cave	0	
092426	19	1	TEST	banner	glide	5	triumph	0	
092426	20	1	TEST	rock	milk	0	star	0	
092426	21	1	TEST	cave	senate	10	senate	1	
092426	1	2	STUDY	caring	skirt	0	NA	NA	
092426	2	2	STUDY	collect	loyalty	10	NA	NA	
092426	3	2	STUDY	fan	feature	0	NA	NA	
092426	4	2	STUDY	biology	temper	5	NA	NA	
092426	5	2	STUDY	grandma	stub	0	NA	NA	
092426	6	2	STUDY	capital	figure	10	NA	NA	
092426	7	2	STUDY	nerve	bumper	5	NA	NA	
092426	8	2	STUDY	cottage	inform	5	NA	NA	
092426	9	2	STUDY	seven	ghetto	0	NA	NA	
092426	10	2	STUDY	bacon	feud	10	NA	NA	
092426	11	2	STUDY	gown	nap	5	NA	NA	
092426	12	2	STUDY	want	ascent	0	NA	NA	
092426	13	2	STUDY	essence	cure	10	NA	NA	
092426	14	2	STUDY	tank	dwarf	5	NA	NA	
092426	15	2	STUDY	crane	fool	0	NA	NA	
092426	16	2	STUDY	port	cinema	5	NA	NA	
092426	17	2	STUDY	chapel	wart	10	NA	NA	
092426	18	2	STUDY	need	faucet	5	NA	NA	
092426	19	2	STUDY	assist	plaque	10	NA	NA	
092426	20	2	STUDY	cash	genius	0	NA	NA	
092426	21	2	STUDY	pinch	fact	10	NA	NA	
092426	1	2	TEST	tank	dwarf	5	fued	0	
092426	2	2	TEST	gown	nap	5	glow	0	
092426	3	2	TEST	essence	cure	10	cure	1	
092426	4	2	TEST	need	faucet	5	stuff	0	
092426	5	2	TEST	crane	fool	0	wart	0	
092426	6	2	TEST	nerve	bumper	5	stuff	0	
092426	7	2	TEST	fan	feature	0	cold	0	
092426	8	2	TEST	seven	ghetto	0	days	0	
092426	9	2	TEST	pinch	fact	10	collect	0	
092426	10	2	TEST	biology	temper	5	hair	0	
092426	11	2	TEST	chapel	wart	10	figure	0	
092426	12	2	TEST	port	cinema	5	ship	0	
092426	13	2	TEST	assist	plaque	10	day	0	
092426	14	2	TEST	capital	figure	10	figure	1	
092426	15	2	TEST	cottage	inform	5	day	0	
092426	16	2	TEST	cash	genius	0	money	0	
092426	17	2	TEST	grandma	stub	0	day	0	
092426	18	2	TEST	bacon	feud	10	feud	1	
092426	19	2	TEST	want	ascent	0	stuff	0	
092426	20	2	TEST	collect	loyalty	10	loyalty	1	
092426	21	2	TEST	caring	skirt	0	sharing	0	
092426	1	3	STUDY	rest	pole	10	NA	NA	
092426	2	3	STUDY	kid	spoil	0	NA	NA	
092426	3	3	STUDY	sleep	tread	5	NA	NA	
092426	4	3	STUDY	town	depart	5	NA	NA	
092426	5	3	STUDY	climax	saucer	5	NA	NA	
092426	6	3	STUDY	wrap	suede	0	NA	NA	
092426	7	3	STUDY	visit	glove	5	NA	NA	
092426	8	3	STUDY	find	clown	5	NA	NA	
092426	9	3	STUDY	diamond	fasten	0	NA	NA	
