Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
112907	SqPrac1	2	1	NA	NA	NA	NA	NA	8	8	1	NA	NA	10	
112907	SqPrac1	2	2	NA	NA	NA	NA	NA	11	11	1	NA	NA	10	
112907	SqPrac2	3	1	NA	NA	NA	NA	NA	11	11	1	NA	NA	10	
112907	SqPrac2	3	2	NA	NA	NA	NA	NA	7	7	1	NA	NA	10	
112907	SqPrac2	3	3	NA	NA	NA	NA	NA	8	8	1	NA	NA	10	
112907	Symm1	6	1	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	4.375	1.52	10	
112907	Symm1	6	2	pracsymm3.bmp	symmetric	1	1	0	NA	NA	NA	1.174	0.972	10	
112907	Symm1	6	3	pracsymm4.bmp	symmetric	1	1	0	NA	NA	NA	1.36	2.061	10	
112907	Symm1	6	4	pracsymm14.bmp	nonsymmetric	0	1	0	NA	NA	NA	0.877	1.266	10	
112907	Symm1	6	5	pracsymm8.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.146	1.128	10	
112907	Symm1	6	6	pracsymm10.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.238	1.005	10	
112907	CombPrac1	2	1	pracsymm11.bmp	nonsymmetric	0	1	0	10	10	1	2.545	1.114	10	
112907	CombPrac1	2	2	pracsymm12.bmp	nonsymmetric	0	1	0	7	7	1	1.798	0.99	10	
112907	CombPrac2	3	1	pracsymm9.bmp	nonsymmetric	0	1	0	4	4	1	2.495	1.025	10	
112907	CombPrac2	3	2	pracsymm7.bmp	symmetric	1	1	0	14	15	0	1.131	0.828	10	
112907	CombPrac2	3	3	pracsymm13.bmp	nonsymmetric	0	1	0	10	10	1	2.222	1.182	10	
112907	1	3	1	symm14.bmp	symmetric	1	1	0	13	13	1	1.106	0.85	5.9024831520701575	
112907	1	3	2	symm44.bmp	nonsymmetric	0	1	0	5	5	1	1.39	1.401	5.9024831520701575	
112907	1	3	3	symm9.bmp	symmetric	1	1	0	10	10	1	1.375	0.766	5.9024831520701575	
112907	2	3	1	symm25.bmp	nonsymmetric	0	1	0	16	16	1	1.805	1.358	5.9024831520701575	
112907	2	3	2	symm40.bmp	nonsymmetric	0	1	0	8	4	0	1.548	1.592	5.9024831520701575	
112907	2	3	3	symm42.bmp	nonsymmetric	0	1	0	5	6	0	3.377	1.253	5.9024831520701575	
112907	3	5	1	symm13.bmp	symmetric	1	1	0	4	4	1	1.738	1.34	5.9024831520701575	
112907	3	5	2	symm21.bmp	symmetric	1	1	0	7	7	1	1.502	1.241	5.9024831520701575	
112907	3	5	3	symm28.bmp	nonsymmetric	0	1	0	16	16	1	1.948	1.577	5.9024831520701575	
112907	3	5	4	symm46.bmp	nonsymmetric	0	1	0	3	3	1	1.428	1.533	5.9024831520701575	
112907	3	5	5	symm1.bmp	symmetric	1	1	0	8	8	1	5.187	0.68	5.9024831520701575	
112907	4	4	1	symm35.bmp	nonsymmetric	0	1	0	13	13	1	1.487	1.723	5.9024831520701575	
112907	4	4	2	symm34.bmp	nonsymmetric	0	1	0	11	12	0	2.225	1.495	5.9024831520701575	
112907	4	4	3	symm27.bmp	nonsymmetric	0	1	0	4	undefined	0	2.64	1.712	5.9024831520701575	
112907	4	4	4	symm39.bmp	nonsymmetric	0	1	0	8	8	1	2.257	2.292	5.9024831520701575	
112907	5	2	1	symm8.bmp	symmetric	1	1	0	13	13	1	1.362	1.061	5.9024831520701575	
112907	5	2	2	symm32.bmp	nonsymmetric	0	1	0	14	14	1	1.708	1.167	5.9024831520701575	
112907	6	4	1	symm36.bmp	nonsymmetric	0	1	0	11	11	1	1.38	1.164	5.9024831520701575	
112907	6	4	2	symm22.bmp	symmetric	1	1	0	8	8	1	1.047	0.993	5.9024831520701575	
112907	6	4	3	symm6.bmp	symmetric	1	1	0	10	undefined	0	2.066	1.39	5.9024831520701575	
112907	6	4	4	symm37.bmp	nonsymmetric	0	1	0	5	5	1	2.854	1.132	5.9024831520701575	
112907	7	3	1	symm20.bmp	symmetric	1	1	0	1	1	1	2.486	1.103	5.9024831520701575	
112907	7	3	2	symm16.bmp	symmetric	1	1	0	12	12	1	1.403	0.917	5.9024831520701575	
112907	7	3	3	symm7.bmp	symmetric	1	1	0	5	5	1	1.236	1.129	5.9024831520701575	
112907	8	5	1	symm18.bmp	symmetric	1	1	0	13	13	1	3.575	1.054	5.9024831520701575	
112907	8	5	2	symm4.bmp	symmetric	1	1	0	9	undefined	0	2.68	0.818	5.9024831520701575	
112907	8	5	3	symm2.bmp	symmetric	1	1	0	3	10	0	1.657	1.678	5.9024831520701575	
112907	8	5	4	symm30.bmp	nonsymmetric	1	0	0	10	6	0	2.275	1.041	5.9024831520701575	
112907	8	5	5	symm26.bmp	nonsymmetric	0	1	0	6	0	0	1.456	1.151	5.9024831520701575	
112907	9	2	1	symm29.bmp	nonsymmetric	0	1	0	8	8	1	2.49	1.088	5.9024831520701575	
112907	9	2	2	symm24.bmp	symmetric	1	1	0	11	11	1	1.719	1.587	5.9024831520701575	
112907	10	4	1	symm31.bmp	nonsymmetric	0	1	0	11	11	1	2.181	1.249	5.9024831520701575	
112907	10	4	2	symm23.bmp	symmetric	1	1	0	15	15	1	0.94	0.871	5.9024831520701575	
112907	10	4	3	symm48.bmp	nonsymmetric	0	1	0	3	3	1	0.909	1.303	5.9024831520701575	
112907	10	4	4	symm3.bmp	symmetric	1	1	0	10	10	1	0.924	1.595	5.9024831520701575	
112907	11	5	1	symm33.bmp	nonsymmetric	0	1	0	4	4	1	2.335	1.096	5.9024831520701575	
112907	11	5	2	symm47.bmp	nonsymmetric	0	1	0	9	9	1	0.905	1.143	5.9024831520701575	
112907	11	5	3	symm12.bmp	symmetric	1	1	0	5	5	1	1.253	0.998	5.9024831520701575	
112907	11	5	4	symm11.bmp	symmetric	1	1	0	10	10	1	0.876	0.93	5.9024831520701575	
112907	11	5	5	symm15.bmp	symmetric	1	1	0	2	2	1	1.219	1.219	5.9024831520701575	
112907	12	2	1	symm10.bmp	symmetric	1	1	0	10	10	1	6.008	0.808	5.9024831520701575	
112907	12	2	2	symm41.bmp	nonsymmetric	0	1	0	3	3	1	2.362	1.726	5.9024831520701575	
