SUBN	TRIAL	BLOCK	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
130703	1	1	STUDY	plant	worm	0	NA	NA	
130703	2	1	STUDY	killer	cracker	10	NA	NA	
130703	3	1	STUDY	glue	force	5	NA	NA	
130703	4	1	STUDY	flask	shiver	0	NA	NA	
130703	5	1	STUDY	pork	emperor	0	NA	NA	
130703	6	1	STUDY	highway	push	0	NA	NA	
130703	7	1	STUDY	find	clown	5	NA	NA	
130703	8	1	STUDY	nose	adverb	10	NA	NA	
130703	9	1	STUDY	caring	skirt	0	NA	NA	
130703	10	1	STUDY	tank	dwarf	5	NA	NA	
130703	11	1	STUDY	need	faucet	5	NA	NA	
130703	12	1	STUDY	glance	kin	0	NA	NA	
130703	13	1	STUDY	garage	idiot	10	NA	NA	
130703	14	1	STUDY	rest	pole	10	NA	NA	
130703	15	1	STUDY	cave	senate	10	NA	NA	
130703	16	1	STUDY	fan	feature	0	NA	NA	
130703	17	1	STUDY	cattle	jelly	10	NA	NA	
130703	18	1	STUDY	veteran	raft	5	NA	NA	
130703	19	1	STUDY	board	funeral	5	NA	NA	
130703	20	1	STUDY	climax	saucer	5	NA	NA	
130703	21	1	STUDY	date	laugh	10	NA	NA	
130703	1	1	TEST	rest	pole	10	cracker	0	
130703	2	1	TEST	date	laugh	10	wire	0	
130703	3	1	TEST	killer	cracker	10	cracker	1	
130703	4	1	TEST	need	faucet	5	wave	0	
130703	5	1	TEST	caring	skirt	0	bear	0	
130703	6	1	TEST	veteran	raft	5	pear	0	
130703	7	1	TEST	cave	senate	10	bear	0	
130703	8	1	TEST	nose	adverb	10	tiger	0	
130703	9	1	TEST	flask	shiver	0	bear	0	
130703	10	1	TEST	climax	saucer	5	dose	0	
130703	11	1	TEST	cattle	jelly	10	cow	0	
130703	12	1	TEST	glue	force	5	force	1	
130703	13	1	TEST	tank	dwarf	5	wire	0	
130703	14	1	TEST	plant	worm	0	tree	0	
130703	15	1	TEST	pork	emperor	0	emperor	1	
130703	16	1	TEST	glance	kin	0	stare	0	
130703	17	1	TEST	highway	push	0	push	1	
130703	18	1	TEST	fan	feature	0	bear	0	
130703	19	1	TEST	board	funeral	5	beck	0	
130703	20	1	TEST	garage	idiot	10	body	0	
130703	21	1	TEST	find	clown	5	clown	1	
130703	1	2	STUDY	rock	milk	0	NA	NA	
130703	2	2	STUDY	retain	strap	0	NA	NA	
130703	3	2	STUDY	storage	stone	5	NA	NA	
130703	4	2	STUDY	capital	figure	10	NA	NA	
130703	5	2	STUDY	leaf	toad	10	NA	NA	
130703	6	2	STUDY	grip	beach	10	NA	NA	
130703	7	2	STUDY	hair	pub	0	NA	NA	
130703	8	2	STUDY	fail	toaster	5	NA	NA	
130703	9	2	STUDY	replace	roach	5	NA	NA	
130703	10	2	STUDY	forest	knob	0	NA	NA	
130703	11	2	STUDY	nerve	bumper	5	NA	NA	
130703	12	2	STUDY	word	apex	5	NA	NA	
130703	13	2	STUDY	bias	sirloin	0	NA	NA	
130703	14	2	STUDY	calf	annoy	5	NA	NA	
130703	15	2	STUDY	fee	chowder	10	NA	NA	
130703	16	2	STUDY	flight	grind	10	NA	NA	
130703	17	2	STUDY	smother	surgery	10	NA	NA	
130703	18	2	STUDY	things	relief	5	NA	NA	
130703	19	2	STUDY	lake	soak	10	NA	NA	
130703	20	2	STUDY	diamond	fasten	0	NA	NA	
130703	21	2	STUDY	crane	fool	0	NA	NA	
130703	1	2	TEST	replace	roach	5	cat	0	
130703	2	2	TEST	smother	surgery	10	blob	0	
130703	3	2	TEST	flight	grind	10	smoke	0	
130703	4	2	TEST	crane	fool	0	toxin	0	
130703	5	2	TEST	lake	soak	10	hut	0	
130703	6	2	TEST	grip	beach	10	wolf	0	
130703	7	2	TEST	hair	pub	0	mess	0	
130703	8	2	TEST	forest	knob	0	right	0	
130703	9	2	TEST	fail	toaster	5	wall	0	
130703	10	2	TEST	capital	figure	10	cow	0	
130703	11	2	TEST	rock	milk	0	walk	0	
130703	12	2	TEST	storage	stone	5	wall	0	
130703	13	2	TEST	bias	sirloin	0	poll	0	
130703	14	2	TEST	things	relief	5	bowl	0	
130703	15	2	TEST	leaf	toad	10	cars	0	
130703	16	2	TEST	retain	strap	0	tree	0	
130703	17	2	TEST	nerve	bumper	5	wolf	0	
130703	18	2	TEST	calf	annoy	5	cow	0	
130703	19	2	TEST	word	apex	5	bear	0	
130703	20	2	TEST	diamond	fasten	0	wolf	0	
130703	21	2	TEST	fee	chowder	10	test	0	
130703	1	3	STUDY	visit	glove	5	NA	NA	
130703	2	3	STUDY	rub	boiled	10	NA	NA	
130703	3	3	STUDY	percent	elk	10	NA	NA	
130703	4	3	STUDY	port	cinema	5	NA	NA	
130703	5	3	STUDY	assist	plaque	10	NA	NA	
130703	6	3	STUDY	process	joker	0	NA	NA	
130703	7	3	STUDY	ritual	rope	5	NA	NA	
130703	8	3	STUDY	want	ascent	0	NA	NA	
130703	9	3	STUDY	sleep	tread	5	NA	NA	
130703	10	3	STUDY	bullet	walkway	5	NA	NA	
130703	11	3	STUDY	mill	feast	10	NA	NA	
130703	12	3	STUDY	begin	rubber	0	NA	NA	
130703	13	3	STUDY	toy	casket	0	NA	NA	
130703	14	3	STUDY	bleach	ruin	0	NA	NA	
130703	15	3	STUDY	closet	indoor	10	NA	NA	
130703	16	3	STUDY	grandma	stub	0	NA	NA	
130703	17	3	STUDY	pray	scarf	5	NA	NA	
130703	18	3	STUDY	bacon	feud	10	NA	NA	
130703	19	3	STUDY	fault	elbow	5	NA	NA	
130703	20	3	STUDY	letter	flea	0	NA	NA	
130703	21	3	STUDY	knock	otter	10	NA	NA	
130703	1	3	TEST	letter	flea	0	bear	0	
130703	2	3	TEST	mill	feast	10	smoke	0	
130703	3	3	TEST	closet	indoor	10	wet	0	
130703	4	3	TEST	grandma	stub	0	body	0	
130703	5	3	TEST	assist	plaque	10	boy	0	
130703	6	3	TEST	rub	boiled	10	kill	0	
130703	7	3	TEST	visit	glove	5	foot	0	
130703	8	3	TEST	knock	otter	10	grave	0	
130703	9	3	TEST	bacon	feud	10	back	0	
130703	10	3	TEST	sleep	tread	5	pig	0	
130703	11	3	TEST	toy	casket	0	bed	0	
130703	12	3	TEST	pray	scarf	5	mate	0	
130703	13	3	TEST	ritual	rope	5	god	0	
130703	14	3	TEST	want	ascent	0	pig	0	
130703	15	3	TEST	begin	rubber	0	money	0	
130703	16	3	TEST	bullet	walkway	5	end	0	
130703	17	3	TEST	fault	elbow	5	end	0	
130703	18	3	TEST	process	joker	0	bull	0	
130703	19	3	TEST	bleach	ruin	0	wall	0	
130703	20	3	TEST	port	cinema	5	tree	0	
130703	21	3	TEST	percent	elk	10	none	0	
130703	1	4	STUDY	copy	bedroom	10	NA	NA	
130703	2	4	STUDY	blossom	please	10	NA	NA	
130703	3	4	STUDY	future	wrench	5	NA	NA	
130703	4	4	STUDY	prison	loaf	10	NA	NA	
130703	5	4	STUDY	rose	herb	10	NA	NA	
130703	6	4	STUDY	seven	ghetto	0	NA	NA	
130703	7	4	STUDY	balcony	latin	10	NA	NA	
130703	8	4	STUDY	banner	glide	5	NA	NA	
130703	9	4	STUDY	town	depart	5	NA	NA	
130703	10	4	STUDY	core	lettuce	0	NA	NA	
130703	11	4	STUDY	entry	bowling	5	NA	NA	
130703	12	4	STUDY	child	leader	5	NA	NA	
130703	13	4	STUDY	intent	knuckle	0	NA	NA	
130703	14	4	STUDY	twist	produce	10	NA	NA	
130703	15	4	STUDY	college	proverb	0	NA	NA	
130703	16	4	STUDY	anger	decay	0	NA	NA	
130703	17	4	STUDY	belong	broth	0	NA	NA	
130703	18	4	STUDY	dip	spray	10	NA	NA	
130703	19	4	STUDY	gown	nap	5	NA	NA	
130703	20	4	STUDY	shrink	mafia	0	NA	NA	
130703	21	4	STUDY	fig	buyer	5	NA	NA	
130703	1	4	TEST	copy	bedroom	10	waste	0	
130703	2	4	TEST	future	wrench	5	bad	0	
130703	3	4	TEST	seven	ghetto	0	wall	0	
130703	4	4	TEST	shrink	mafia	0	tree	0	
130703	5	4	TEST	child	leader	5	rough	0	
130703	6	4	TEST	intent	knuckle	0	right	0	
130703	7	4	TEST	anger	decay	0	passive	0	
130703	8	4	TEST	entry	bowling	5	neat	0	
130703	9	4	TEST	blossom	please	10	wall	0	
130703	10	4	TEST	fig	buyer	5	flower	0	
130703	11	4	TEST	twist	produce	10	pig	0	
130703	12	4	TEST	rose	herb	10	power	0	
130703	13	4	TEST	gown	nap	5	clown	0	
130703	14	4	TEST	college	proverb	0	preset	0	
130703	15	4	TEST	core	lettuce	0	pretese	0	
130703	16	4	TEST	dip	spray	10	surf	0	
130703	17	4	TEST	belong	broth	0	walk	0	
130703	18	4	TEST	town	depart	5	tone	0	
130703	19	4	TEST	balcony	latin	10	wall	0	
130703	20	4	TEST	prison	loaf	10	night	0	
130703	21	4	TEST	banner	glide	5	window	0	
130703	1	5	STUDY	remind	foam	5	NA	NA	
130703	2	5	STUDY	essence	cure	10	NA	NA	
130703	3	5	STUDY	wrap	suede	0	NA	NA	
130703	4	5	STUDY	bunch	bond	5	NA	NA	
130703	5	5	STUDY	hat	inhale	5	NA	NA	
130703	6	5	STUDY	kid	spoil	0	NA	NA	
130703	7	5	STUDY	pea	bathtub	10	NA	NA	
130703	8	5	STUDY	quit	defrost	5	NA	NA	
130703	9	5	STUDY	link	crisis	10	NA	NA	
130703	10	5	STUDY	cash	genius	0	NA	NA	
130703	11	5	STUDY	bath	mailman	0	NA	NA	
