Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
160722	SqPrac1	2	1	NA	NA	NA	NA	NA	3	3	1	NA	NA	10	
160722	SqPrac1	2	2	NA	NA	NA	NA	NA	5	5	1	NA	NA	10	
160722	SqPrac2	3	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	10	
160722	SqPrac2	3	2	NA	NA	NA	NA	NA	10	10	1	NA	NA	10	
160722	SqPrac2	3	3	NA	NA	NA	NA	NA	16	16	1	NA	NA	10	
160722	Symm1	6	1	pracsymm11.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.593	1.187	10	
160722	Symm1	6	2	pracsymm10.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.154	1.26	10	
160722	Symm1	6	3	pracsymm9.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.074	0.903	10	
160722	Symm1	6	4	pracsymm4.bmp	symmetric	1	1	0	NA	NA	NA	1.085	0.979	10	
160722	Symm1	6	5	pracsymm13.bmp	nonsymmetric	0	1	0	NA	NA	NA	0.986	0.929	10	
160722	Symm1	6	6	pracsymm7.bmp	symmetric	1	1	0	NA	NA	NA	1.263	1.167	10	
160722	CombPrac1	2	1	pracsymm1.bmp	symmetric	1	1	0	9	9	1	1.485	1.032	10	
160722	CombPrac1	2	2	pracsymm8.bmp	nonsymmetric	0	1	0	6	6	1	0.987	1.129	10	
160722	CombPrac2	3	1	pracsymm12.bmp	nonsymmetric	0	1	0	4	4	1	1.657	0.812	10	
160722	CombPrac2	3	2	pracsymm5.bmp	symmetric	1	1	0	15	15	1	1.853	1.723	10	
160722	CombPrac2	3	3	pracsymm15.bmp	nonsymmetric	0	1	0	2	2	1	1.12	0.922	10	
160722	1	4	1	symm47.bmp	nonsymmetric	0	1	0	14	14	1	1.406	0.91	3.5851355427103475	
160722	1	4	2	symm26.bmp	nonsymmetric	0	1	0	9	4	0	1.281	1.218	3.5851355427103475	
160722	1	4	3	symm12.bmp	symmetric	1	1	0	3	7	0	1.251	1.182	3.5851355427103475	
160722	1	4	4	symm30.bmp	nonsymmetric	0	1	0	7	0	0	0.971	1.045	3.5851355427103475	
160722	2	2	1	symm41.bmp	nonsymmetric	0	1	0	7	7	1	1.312	0.789	3.5851355427103475	
160722	2	2	2	symm23.bmp	symmetric	1	1	0	10	10	1	1.526	1.233	3.5851355427103475	
160722	3	2	1	symm37.bmp	nonsymmetric	0	1	0	11	11	1	1.157	0.843	3.5851355427103475	
160722	3	2	2	symm48.bmp	nonsymmetric	1	0	0	4	4	1	1.168	1.476	3.5851355427103475	
160722	4	5	1	symm25.bmp	nonsymmetric	0	1	0	4	11	0	2.31	0.89	3.5851355427103475	
160722	4	5	2	symm42.bmp	nonsymmetric	0	1	0	10	4	0	1.073	0.868	3.5851355427103475	
160722	4	5	3	symm14.bmp	symmetric	0	0	0	3	2	0	1.65	2.088	3.5851355427103475	
160722	4	5	4	symm3.bmp	symmetric	1	1	0	5	7	0	1.22	0.83	3.5851355427103475	
160722	4	5	5	symm11.bmp	symmetric	0	0	0	7	0	0	1.992	2.048	3.5851355427103475	
160722	5	3	1	symm8.bmp	symmetric	1	1	0	12	11	0	1.827	0.854	3.5851355427103475	
160722	5	3	2	symm28.bmp	nonsymmetric	0	1	0	4	4	1	5.222	5.723	3.5851355427103475	
160722	5	3	3	symm46.bmp	nonsymmetric	0	1	0	14	14	1	1.527	1.734	3.5851355427103475	
160722	6	5	1	symm22.bmp	symmetric	1	1	0	6	9	0	1.142	0.855	3.5851355427103475	
160722	6	5	2	symm31.bmp	nonsymmetric	0	1	0	9	1	0	2.81	1.439	3.5851355427103475	
160722	6	5	3	symm32.bmp	nonsymmetric	0	1	0	2	10	0	1.151	0.775	3.5851355427103475	
160722	6	5	4	symm40.bmp	nonsymmetric	0	1	0	10	14	0	1.184	1.009	3.5851355427103475	
160722	6	5	5	symm27.bmp	nonsymmetric	0	1	0	14	0	0	0.792	0.733	3.5851355427103475	
160722	7	4	1	symm35.bmp	nonsymmetric	0	1	0	16	16	1	1.547	1.237	3.5851355427103475	
160722	7	4	2	symm33.bmp	nonsymmetric	0	1	0	15	15	1	1.087	0.754	3.5851355427103475	
160722	7	4	3	symm34.bmp	nonsymmetric	0	1	0	8	8	1	2.11	0.825	3.5851355427103475	
160722	7	4	4	symm36.bmp	nonsymmetric	0	1	0	7	7	1	1.22	0.814	3.5851355427103475	
160722	8	5	1	symm5.bmp	symmetric	1	1	0	12	12	1	0.909	0.825	3.5851355427103475	
160722	8	5	2	symm20.bmp	symmetric	1	1	0	4	4	1	1.324	1.002	3.5851355427103475	
160722	8	5	3	symm29.bmp	nonsymmetric	0	1	0	14	5	0	0.909	0.813	3.5851355427103475	
160722	8	5	4	symm16.bmp	symmetric	1	1	0	5	0	0	1.058	2.852	3.5851355427103475	
160722	8	5	5	symm45.bmp	nonsymmetric	0	1	0	16	0	0	1.15	1.139	3.5851355427103475	
160722	9	4	1	symm4.bmp	symmetric	1	1	0	15	15	1	1.625	2.808	3.5851355427103475	
160722	9	4	2	symm24.bmp	symmetric	1	1	0	14	14	1	0.908	0.926	3.5851355427103475	
160722	9	4	3	symm38.bmp	nonsymmetric	0	1	0	5	5	1	1.151	0.96	3.5851355427103475	
160722	9	4	4	symm17.bmp	symmetric	1	1	0	3	4	0	1.078	1.202	3.5851355427103475	
160722	10	3	1	symm44.bmp	nonsymmetric	0	1	0	1	1	1	0.926	0.823	3.5851355427103475	
160722	10	3	2	symm7.bmp	symmetric	1	1	0	3	3	1	3.639	0.822	3.5851355427103475	
160722	10	3	3	symm19.bmp	symmetric	1	1	0	15	15	1	1.096	0.954	3.5851355427103475	
160722	11	2	1	symm43.bmp	nonsymmetric	0	1	0	13	13	1	0.844	0.827	3.5851355427103475	
160722	11	2	2	symm18.bmp	symmetric	1	1	0	3	3	1	1.297	1.034	3.5851355427103475	
160722	12	3	1	symm13.bmp	symmetric	1	1	0	8	8	1	2.934	0.734	3.5851355427103475	
