SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
140352	Cal	15	1	7	*	7	2	51	51	1	4	1	1	0	-	NA	-1	2.264	0.969	10	
140352	Cal	15	2	6	/	2	4	7	11	0	1	0	1	0	-	NA	-1	1.828	1.175	10	
140352	Cal	15	3	7	*	9	4	67	63	0	4	0	1	0	-	NA	-1	2.211	1.405	10	
140352	Cal	15	4	1	*	2	7	9	10	0	1	0	1	0	-	NA	-1	1.603	0.821	10	
140352	Cal	15	5	9	/	1	4	13	13	1	1	1	1	0	-	NA	-1	1.546	0.907	10	
140352	Cal	15	6	1	*	4	-2	2	2	1	1	1	1	0	-	NA	-1	1.981	1.48	10	
140352	Cal	15	7	4	*	6	2	26	35	0	3	0	1	0	-	NA	-1	1.504	1.176	10	
140352	Cal	15	8	6	*	8	9	57	52	0	4	0	1	0	-	NA	-1	2.669	0.944	10	
140352	Cal	15	9	5	*	9	4	49	49	1	4	1	1	0	-	NA	-1	1.237	0.735	10	
140352	Cal	15	10	9	/	9	5	6	6	1	1	1	1	0	-	NA	-1	1.604	2.111	10	
140352	Cal	15	11	4	*	9	8	44	38	0	3	0	1	0	-	NA	-1	3.018	0.844	10	
140352	Cal	15	12	3	*	5	-3	12	8	0	2	0	1	0	-	NA	-1	1.56	1.068	10	
140352	Cal	15	13	8	/	4	6	8	14	0	1	0	1	0	-	NA	-1	1.587	0.702	10	
140352	Cal	15	14	5	*	8	-1	39	39	1	4	1	1	0	-	NA	-1	2.077	0.629	10	
140352	Cal	15	15	6	*	7	-2	40	40	1	4	1	1	0	-	NA	-1	2.503	1.229	10	
140352	Prac1	2	1	6	/	3	7	9	4	0	1	0	1	0	K	k	1	2.956	1.062	4.567289076000401	
