SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	ITEMID	ANSWER	TFRESP	TFACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	READTIME	TFTIME	MAXTIME	
145522	Cal	15	1	silver	1	1	1	0	-	NA	-1	3.834	0.716	10	
145522	Cal	15	2	tennis	0	1	0	0	-	NA	-1	0.032	3.384	10	
145522	Cal	15	3	quarter	0	0	1	0	-	NA	-1	4.859	0.877	10	
145522	Cal	15	4	mountain	1	1	1	0	-	NA	-1	3.96	0.65	10	
145522	Cal	15	5	juice	0	0	1	0	-	NA	-1	3.101	0.619	10	
145522	Cal	15	6	nephew	0	0	1	0	-	NA	-1	5.388	0.675	10	
145522	Cal	15	7	spoon	0	0	1	0	-	NA	-1	5.192	0.701	10	
145522	Cal	15	8	deer	1	1	1	0	-	NA	-1	2.679	0.584	10	
145522	Cal	15	9	corn	0	1	0	0	-	NA	-1	4.916	0.816	10	
145522	Cal	15	10	gray	1	1	1	0	-	NA	-1	4.132	1.05	10	
145522	Cal	15	11	flute	0	1	0	0	-	NA	-1	0.225	1.923	10	
145522	Cal	15	12	cousin	0	0	1	0	-	NA	-1	3.521	0.426	10	
145522	Cal	15	13	boat	1	1	1	0	-	NA	-1	4.464	1.667	10	
145522	Cal	15	14	island	1	1	1	0	-	NA	-1	5.132	0.542	10	
145522	Cal	15	15	screw	0	0	1	0	-	NA	-1	3.815	0.919	10	
145522	Prac1	2	1	cabin	0	0	1	0	S	p	0	2.641	0.677	7.7397808440688065	
145522	Prac1	2	2	egg	1	1	1	0	R	r	1	2.92	0.448	7.7397808440688065	
145522	Prac2	2	1	robe	0	0	1	0	H	h	1	2.863	0.71	7.7397808440688065	
145522	Prac2	2	2	garlic	0	0	1	0	J	j	1	4.482	0.564	7.7397808440688065	
145522	3	5	1	rabbit	0	0	1	0	N	n	1	3.437	0.967	7.7397808440688065	
145522	3	5	2	door	1	1	1	0	L	l	1	3.171	0.595	7.7397808440688065	
145522	3	5	3	emerald	1	1	1	0	F	f	1	3.369	0.567	7.7397808440688065	
145522	3	5	4	sweater	0	0	1	0	H	h	1	3.373	0.53	7.7397808440688065	
145522	3	5	5	gasoline	0	0	1	0	P	p	1	3.33	0.604	7.7397808440688065	
145522	4	3	1	hail	1	1	1	0	T	t	1	3.764	1.307	7.7397808440688065	
145522	4	3	2	inch	1	1	1	0	S	s	1	3.781	0.907	7.7397808440688065	
145522	4	3	3	bureau	1	1	1	0	Q	q	1	3.002	1.484	7.7397808440688065	
145522	5	2	1	doctor	1	1	1	0	Y	y	1	2.406	0.478	7.7397808440688065	
145522	5	2	2	baseball	1	1	1	0	Q	q	1	2.501	0.666	7.7397808440688065	
145522	6	6	1	perch	0	0	1	0	H	h	1	3.997	0.586	7.7397808440688065	
145522	6	6	2	professor	1	1	1	0	J	j	1	2.798	0.653	7.7397808440688065	
145522	6	6	3	toe	0	0	1	0	K	k	1	3.453	0.817	7.7397808440688065	
145522	6	6	4	pine	0	1	0	0	P	p	1	4.873	1.044	7.7397808440688065	
145522	6	6	5	sock	1	1	1	0	N	h	0	2.812	0.621	7.7397808440688065	
145522	6	6	6	week	0	0	1	0	F	f	1	3.141	0.763	7.7397808440688065	
145522	7	4	1	pound	1	1	1	0	T	t	1	2.327	0.656	7.7397808440688065	
145522	7	4	2	daisy	0	0	1	0	L	l	1	3.482	0.702	7.7397808440688065	
145522	7	4	3	poem	1	1	1	0	S	s	1	3.047	0.603	7.7397808440688065	
145522	7	4	4	orange	1	1	1	0	R	r	1	2.611	0.473	7.7397808440688065	
145522	8	5	1	rose	1	1	1	0	K	k	1	1.645	0.473	7.7397808440688065	
145522	8	5	2	bed	0	0	1	0	S	s	1	1.938	0.964	7.7397808440688065	
145522	8	5	3	hammer	1	1	1	0	P	p	1	2.89	0.581	7.7397808440688065	
145522	8	5	4	pepper	0	0	1	0	J	h	0	3.998	0.587	7.7397808440688065	
145522	8	5	5	desert	0	0	1	0	N	n	1	5.072	0.594	7.7397808440688065	
145522	9	2	1	harp	0	0	1	0	F	f	1	3.624	1.024	7.7397808440688065	
145522	9	2	2	track	1	1	1	0	S	s	1	2.313	0.638	7.7397808440688065	
145522	10	4	1	plumber	1	1	1	0	L	l	1	2.297	0.865	7.7397808440688065	
145522	10	4	2	coat	0	0	1	0	K	k	1	2.546	0.602	7.7397808440688065	
145522	10	4	3	foot	0	0	1	0	R	r	1	4.67	0.566	7.7397808440688065	
145522	10	4	4	velvet	0	0	1	0	Q	q	1	2.876	1.027	7.7397808440688065	
145522	11	3	1	parrot	1	1	1	0	J	j	1	2.173	0.579	7.7397808440688065	
145522	11	3	2	valley	1	1	1	0	F	f	1	2.829	0.823	7.7397808440688065	
145522	11	3	3	pear	0	0	1	0	P	p	1	2.987	2.8	7.7397808440688065	
145522	12	6	1	wolf	1	1	1	0	T	t	1	3.888	0.944	7.7397808440688065	
145522	12	6	2	hour	1	1	1	0	Q	q	1	2.752	0.867	7.7397808440688065	
145522	12	6	3	bee	1	1	1	0	F	f	1	4.138	1.156	7.7397808440688065	
145522	12	6	4	carpenter	0	0	1	0	H	h	1	3.158	0.538	7.7397808440688065	
145522	12	6	5	windows	1	1	1	0	N	n	1	3.686	0.666	7.7397808440688065	
145522	12	6	6	canary	0	0	1	0	R	q	0	2.951	0.651	7.7397808440688065	
