artist,picture,1
barrel,drum,2
bath,house,3
bead,rain,4
beat,blend,5
beer,taste,0
build,add,1
chief,major,2
choose,freedom,3
circus,lion,4
coast,float,5
coin,bill,0
collar,blouse,1
contact,apart,2
cost,lot,3
crowd,big,4
curve,girl,5
damp,stink,0
dawn,night,1
defeat,battle,2
demand,take,3
dizzy,confuse,4
grave,bad,5
grove,group,0
grow,rise,1
maid,honor,2
marry,family,3
marsh,field,4
mask,scuba,5
math,test,0
paint,smell,1
party,friend,2
peel,apple,3
piano,man,4
pig,dirt,5
saint,priest,0
search,lost,1
shame,abuse,2
shop,keeper,3
sleeve,jacket,4
snake,ugly,5
space,black,0
spool,pool,1
stalk,kill,2
stare,rude,3
stay,home,4
student,stress,5
support,love,0
taboo,norm,1
tale,end,2
throw,move,3
tomato,hot,4
tumble,mat,5
vacate,evacuate,0
